_nearbyNodes:cx,parameter,,1,418
_nearbyNodes:cy,parameter,,1,418
_nearbyNodes:radius,parameter,,1,418
createUserCluster:nodeIds,parameter,,1,447
deleteUserCluster:sectionName,parameter,,1,482
pushArrangement:trigger,parameter,,1,557
pushArrangement:focalNodes,parameter,,1,557
generateArrangementLabel:focal,parameter,,1,590
generateArrangementLabel:trigger,parameter,,1,590
navigateArrangement:delta,parameter,,1,598
enterComparisonMode:idxA,parameter,,1,631
enterComparisonMode:idxB,parameter,,1,631
computeComparisonPositions:arrA,parameter,,1,648
computeComparisonPositions:arrB,parameter,,1,648
trackClickCoOccurrence:nodeId,parameter,,1,673
trackDragProximity:draggedId,parameter,,1,692
navigateToArrangement:targetIdx,parameter,,1,723
hashStr:s,parameter,,1,741
parseCodemap:md,parameter,,1,750
extractJS:html,parameter,,1,792
analyzeCode:code,parameter,,1,803
analyzeCode:lineOffset,parameter,,1,803
collectDeclNames:pattern,parameter,,1,848
analyzeFunction:funcNode,parameter,,1,859
analyzeFunction:globals,parameter,,1,859
tokenizeName:name,parameter,,1,973
clusterFunctions:analysis,parameter,,1,981
nameClusters:analysis,parameter,,1,1051
nameClusters:clusters,parameter,,1,1051
computeAffinities:analysis,parameter,,1,1095
computeAffinities:clusters,parameter,,1,1095
computeAffinities:clusterNames,parameter,,1,1095
