t,type,op,id,kind,source,target,layer,weight,label
2740,EDGE,add,"nx:0,0:4,29",,"px:0,0:4,29","px:0,0:5,29",next-x,1,
2741,EDGE,add,"ny:0,0:5,28",,"px:0,0:5,28","px:0,0:5,29",next-y,1,
2742,NODE,add,"px:0,0:6,29",pixel,,,,0.05359477124183006,"12,12,17"
2743,EDGE,add,"nx:0,0:5,29",,"px:0,0:5,29","px:0,0:6,29",next-x,1,
2744,EDGE,add,"ny:0,0:6,28",,"px:0,0:6,28","px:0,0:6,29",next-y,1,
2745,NODE,add,"px:0,0:7,29",pixel,,,,0.05359477124183006,"12,12,17"
2746,EDGE,add,"nx:0,0:6,29",,"px:0,0:6,29","px:0,0:7,29",next-x,1,
2747,EDGE,add,"ny:0,0:7,28",,"px:0,0:7,28","px:0,0:7,29",next-y,1,
2748,NODE,add,"px:0,0:8,29",pixel,,,,0.05359477124183006,"12,12,17"
2749,EDGE,add,"nx:0,0:7,29",,"px:0,0:7,29","px:0,0:8,29",next-x,1,
2750,EDGE,add,"ny:0,0:8,28",,"px:0,0:8,28","px:0,0:8,29",next-y,1,
2751,NODE,add,"px:0,0:9,29",pixel,,,,0.12156862745098039,"14,42,37"
2752,EDGE,add,"nx:0,0:8,29",,"px:0,0:8,29","px:0,0:9,29",next-x,1,
2753,EDGE,add,"ny:0,0:9,28",,"px:0,0:9,28","px:0,0:9,29",next-y,1,
2754,NODE,add,"px:0,0:10,29",pixel,,,,0.05359477124183006,"12,12,17"
2755,EDGE,add,"nx:0,0:9,29",,"px:0,0:9,29","px:0,0:10,29",next-x,1,
2756,EDGE,add,"ny:0,0:10,28",,"px:0,0:10,28","px:0,0:10,29",next-y,1,
2757,NODE,add,"px:0,0:11,29",pixel,,,,0.05359477124183006,"12,12,17"
2758,EDGE,add,"nx:0,0:10,29",,"px:0,0:10,29","px:0,0:11,29",next-x,1,
2759,EDGE,add,"ny:0,0:11,28",,"px:0,0:11,28","px:0,0:11,29",next-y,1,
2760,NODE,add,"px:0,0:12,29",pixel,,,,0.05359477124183006,"12,12,17"
2761,EDGE,add,"nx:0,0:11,29",,"px:0,0:11,29","px:0,0:12,29",next-x,1,
2762,EDGE,add,"ny:0,0:12,28",,"px:0,0:12,28","px:0,0:12,29",next-y,1,
2763,NODE,add,"px:0,0:13,29",pixel,,,,0.05359477124183006,"12,12,17"
2764,EDGE,add,"nx:0,0:12,29",,"px:0,0:12,29","px:0,0:13,29",next-x,1,
2765,EDGE,add,"ny:0,0:13,28",,"px:0,0:13,28","px:0,0:13,29",next-y,1,
2766,NODE,add,"px:0,0:14,29",pixel,,,,0.05359477124183006,"12,12,17"
2767,EDGE,add,"nx:0,0:13,29",,"px:0,0:13,29","px:0,0:14,29",next-x,1,
2768,EDGE,add,"ny:0,0:14,28",,"px:0,0:14,28","px:0,0:14,29",next-y,1,
2769,NODE,add,"px:0,0:15,29",pixel,,,,0.05359477124183006,"12,12,17"
2770,EDGE,add,"nx:0,0:14,29",,"px:0,0:14,29","px:0,0:15,29",next-x,1,
2771,EDGE,add,"ny:0,0:15,28",,"px:0,0:15,28","px:0,0:15,29",next-y,1,
2772,NODE,add,"px:0,0:16,29",pixel,,,,0.05359477124183006,"12,12,17"
2773,EDGE,add,"nx:0,0:15,29",,"px:0,0:15,29","px:0,0:16,29",next-x,1,
2774,EDGE,add,"ny:0,0:16,28",,"px:0,0:16,28","px:0,0:16,29",next-y,1,
2775,NODE,add,"px:0,0:17,29",pixel,,,,0.05359477124183006,"12,12,17"
